t, intensity
45.25022338,0.053042992
45.25022338,0.064977609
45.2754153,0.041655712
45.30060721,0.033474196
45.30060721,0.025722948
45.3056456,0.017743148
45.33139733,0.009751115
45.48534793,0.002606043
46.03117275,0.001999115
46.52745348,0.008264808
46.58539489,0.020769411
46.6105868,0.028912494
46.6105868,0.062736124
46.63577872,0.044258758
46.63577872,0.036595592
46.65257333,0.070018196
46.65257333,0.054515699
46.65593225,0.104907437
46.66097063,0.001167262
46.66456948,0.080252698
46.67272686,0.090923364
46.72328747,0.122683184
46.72646961,0.134612982
46.7960909,0.143582356
46.83731404,0.11253524
46.88769787,0.097659821
47.0100586,0.152912971
47.21519276,0.177692193
47.21519276,0.162189696
47.24038468,0.169657481
47.2522397,0.188464674
47.28357082,0.199650839
47.29496716,0.208345989
47.30021548,0.221073966
47.30756312,0.41061265
47.32855638,0.231587628
47.34115234,0.238832931
47.34115234,0.155174254
47.34430133,0.24964631
47.36634425,0.343113027
47.36634425,0.335361779
47.36634425,0.32761053
47.36634425,0.319859282
47.36634425,0.312108033
47.36634425,0.304356785
47.36634425,0.296605536
47.36634425,0.288854288
47.36634425,0.281103039
47.36634425,0.273351791
47.36634425,0.265600542
47.39153617,0.389474072
47.39153617,0.381722824
47.39153617,0.374059657
47.39153617,0.366242697
47.39153617,0.358338586
47.39153617,0.350639534
47.40161293,0.259206262
47.41672808,0.40088599
47.44192,0.433633415
47.45631538,0.425152545
47.46207353,0.415253846
47.50415885,0.44154444
47.51245736,0.451297867
47.51749574,0.465637748
47.51749574,0.457886499
47.55750643,0.477379177
47.66864723,0.503691476
47.66864723,0.495940227
47.66864723,0.488188979
47.70643511,0.514085731
47.756078,0.531329855
47.76101759,0.542272864
47.7694149,0.522190203
47.79460681,0.557103208
47.79460681,0.548889305
47.8080425,0.568862662
47.81979873,0.631765385
47.81979873,0.624014137
47.81979873,0.616262888
47.81979873,0.60851164
47.81979873,0.600760391
47.81979873,0.593009143
47.81979873,0.585257894
47.82819603,0.578798639
47.84499064,0.664891904
47.84499064,0.655215227
47.84499064,0.647463978
47.84499064,0.639908468
47.87018256,0.681004145
47.8737814,0.674297353
47.89537447,0.68942266
47.90722949,0.701444961
47.93136292,0.712450419
47.96465224,0.72195767
47.97095022,0.732181431
48.02693225,0.743143587
48.14729362,0.753950065
48.19767745,0.761858619
48.22286937,0.876287761
48.24806128,0.795406483
48.25398879,0.780374644
48.26965435,0.806174859
48.2732532,0.813309582
48.2732532,0.769796891
48.29844511,0.820855662
48.30180403,0.830868913
48.32363703,0.847398173
48.34882894,0.855472748
48.35722625,0.84035206
48.36068396,0.866528117
48.37402086,0.887916778
48.37402086,0.88016553
48.37402086,0.986569032
48.39921277,0.918843834
48.39921277,0.911092586
48.39921277,0.903537076
48.39921277,0.895464816
48.41106779,0.929948138
48.42440469,0.949222822
48.42440469,0.941471574
48.43585556,0.96619886
48.4495966,0.956922231
48.48738448,0.977145827
48.60074809,0.992970726
49.15497023,0.996829695
49.70919236,0.996933646
50.26341449,0.996589178
50.81763662,0.995804298
51.37605741,0.99342919
51.66641038,0.984339143
