flux,imi
5502,0.23
5505,0.02
5575,0.31
5586,0.03
5613,0.01
5627,0
5628,0
5642,0.3
5725,0.54
5746,0
5779,0
5865,0
5866,0
5944,0
5996,0.02
6006,0.42
6031,0
6133,0.34
6151,0
6160,0.15
6234,0.31
6243,0.05
6267,0.01
6280,0.03
6365,0.12
6403,0.02
6419,0
6428,0.11
6429,0
6435,0.07
6460,0.02
6471,0
6602,0.02
6647,0.04
6696,0.04
6716,0.01
6793,0.02
6849,0.02
6916,0
6940,0.02
7074,0
7080,0
7080,0
7081,0
7149,0
7154,0.02
7164,0.01
7209,0.5
7241,0
7341,0
7405,0
7507,0
7606,0
7606,0
7609,0
7650,0.32
7678,0
7734,0
7782,0
7885,0.04
7896,0.01
7948,0
7949,0.21
8005,0
8012,0.02
8053,0
8097,0.01
8100,0.01
8189,0
8208,0.03
8268,0
8322,0
8406,0.04
8431,0.01
8433,0
8541,0
8603,0.04
8631,0
8641,0.01
8715,0
8889,0.02
8897,0
8922,0.03
8946,0.35
8962,0.22
8963,0.01
9087,0
9087,0
9172,0
9234,0.06
9236,0
9271,0.36
9311,0.01
9332,0.01
9536,0
9567,0
9571,0
9641,0.01
9758,0.01
9786,0
9922,0.02
10035,0
10087,0.01
10089,0.01
10094,0
10111,0
10165,0
10173,0
10276,0
10317,0
10640,0
10892,0.01
11350,0.01
11398,0.01
11573,0
11714,0.01
11737,0
11855,0
11959,0
12230,0.02
12272,0.01
12837,0.01
12850,0
12876,0.01
13090,0.01
13511,0.01
13701,0
13770,0.01
13844,0.01
14214,0.01
14775,0.01
14832,0.01
14865,0
14879,0.01
14891,0
14965,0.01
14971,0
15001,0.01
15041,1
15043,0
15110,0
15207,0.01
15396,0
15435,0.01
15508,0
15741,1
15752,0
15823,0.01
16120,0
16725,0.01
16980,0
17091,0.01
17148,0
17171,0.12
17707,0.01
17998,0
18259,0
18416,0.12
18445,0.03
18627,0
18666,0.01
18705,0.01
19059,0.18
19229,0.12
19285,0.01
19412,0.01
19441,0.01
19527,0
19581,0.01
19868,0.02
20174,0.13
20453,0
20597,0.01
20749,0.18
21667,0.01
21773,0.01
21840,0
21974,0.01
21979,0.01
22945,0
23056,0.01
23088,0.01
23226,1
23257,0.01
23314,0.01
23424,0.01
23472,0.19
23679,0.01
23919,0.01
24018,0
24022,0.01
24029,0
24285,0.01
24715,0
24732,0.01
24789,0.01
24896,0.01
24916,0.01
25276,0
25551,0.01
25683,0.01
25910,0.2
26565,0.01
26761,0.01
26976,0.01
26990,0
27158,0.01
27701,0
28000,0
28000,0
28701,0
28941,0.01
31313,0.01
33370,1
35387,0.01
41538,0
47477,0.01
48681,0
52887,0.01
67383,0.01
70773,0
